Index       TIME              P(connect2)             P(connect6)             Sample(out)             Sample(out)             Sample(out)             Sample(connect2)             Sample(connect2)             Sample(connect6)             Sample(connect6)             Sample(connect5)      
0        0.00000000e+00    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
1        5.00000000e-06    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
2        1.50000000e-05    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
3        3.50000000e-05    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
4        7.50000000e-05    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
5        1.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
6        2.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
7        3.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
8        4.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
9        5.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
10       6.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
11       7.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
12       8.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
13       9.55000000e-04    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
14       1.00000000e-03    7.56488478e+04    7.22241733e+04    1.42541949e-08    1.42541949e-08    1.42541949e-08    0.00000000e+00    0.00000000e+00    1.42541949e-08    1.42541949e-08    1.75000000e-06
End of Xyce(TM) Simulation
